n,m,dinic
900,114500,15753857
900,114600,15588979
900,114700,16704368
900,114800,14982556
900,114900,16265632
900,115000,15196268
900,115100,14847451
900,115200,16009272
900,115300,15540742
900,115400,15219356
900,115500,15312325
900,115600,15261321
900,115700,14867152
900,115800,15058461
900,115900,14495512
900,116000,14412706
900,116100,16846350
900,116200,14524502
900,116300,14555898
900,116400,14940520
900,116500,14531117
900,116600,14966051
900,116700,14398767
900,116800,14666259
900,116900,15427702
900,117000,14554702
900,117100,14762143
900,117200,14467536
900,117300,15118727
900,117400,12620229
900,117500,12861302
900,117600,13234569
900,117700,12737939
900,117800,12777759
900,117900,12858281
900,118000,12680595
900,118100,12793908
900,118200,12895101
900,118300,12798922
900,118400,15562884
900,118500,15752630
900,118600,14980372
900,118700,15028719
900,118800,15724289
900,118900,14968205
900,119000,16444652
900,119100,15518408
900,119200,15137558
900,119300,15359364
900,119400,15568870
900,119500,15681505
900,119600,15779038
900,119700,16475897
900,119800,15700021
900,119900,15912880
900,120000,15938330
900,120100,16695772
900,120200,15732382
900,120300,15934599
900,120400,15661570
900,120500,15580816
900,120600,15955926
900,120700,16842145
900,120800,16640202
900,120900,19522298
900,121000,16788476
900,121100,16372961
900,121200,16416548
900,121300,17077162
900,121400,16512483
900,121500,17022328
900,121600,15998697
900,121700,15878100
900,121800,16512432
900,121900,16662790
900,122000,15971232
900,122100,16461384
900,122200,16927276
900,122300,16081581
900,122400,21916814
900,122500,19246068
900,122600,18184969
900,122700,18451653
900,122800,17062500
900,122900,16491278
900,123000,16706894
900,123100,16432082
900,123200,17551088
900,123300,16316196
900,123400,16194750
900,123500,16569831
900,123600,18056659
900,123700,17073284
900,123800,16705040
900,123900,16427273
900,124000,16685997
900,124100,16702995
900,124200,18651889
900,124300,19701355
900,124400,16551201
900,124500,16740101
900,124600,16291459
900,124700,16574847
900,124800,17054939
900,124900,16456760
900,125000,16209881
900,125100,16299358
900,125200,17091816
900,125300,16777070
900,125400,16760700
900,125500,17829769
900,125600,16560924
900,125700,17551550
900,125800,16987254
900,125900,16942257
900,126000,16973447
900,126100,17727887
900,126200,17440315
900,126300,17473299
900,126400,17171702
900,126500,17189354
900,126600,19313251
900,126700,17035472
900,126800,17765463
900,126900,16810801
900,127000,16874716
900,127100,18189270
900,127200,17184531
900,127300,17454545
900,127400,16957766
900,127500,17070169
900,127600,16993763
900,127700,17079965
900,127800,17978373
900,127900,17371303
900,128000,17871847
900,128100,17997878
900,128200,17908585
900,128300,18044191
900,128400,18054181
900,128500,18650485
900,128600,18515874
900,128700,18015435
900,128800,17771530
900,128900,21415461
900,129000,17584813
900,129100,17669168
900,129200,19086115
900,129300,17554987
900,129400,17559604
900,129500,17509170
900,129600,18768098
900,129700,17434062
900,129800,17979287
900,129900,18470752
900,130000,17680540
900,130100,17300697
900,130200,30375026
900,130300,18006037
900,130400,18009055
900,130500,17691552
900,130600,18220889
900,130700,17584482
900,130800,17550224
900,130900,17614654
900,131000,18101136
900,131100,19872427
900,131200,19231690
900,131300,19953640
900,131400,20326249
900,131500,20308839
900,131600,20452511
900,131700,20862149
900,131800,20575608
900,131900,20474129
900,132000,21704267
900,132100,22101828
900,132200,20616808
900,132300,20636703
900,132400,20731993
900,132500,21568247
900,132600,20838688
900,132700,20825040
900,132800,21100905
900,132900,21473339
900,133000,21599993
900,133100,21534846
900,133200,20597099
900,133300,20761532
900,133400,21106215
900,133500,21234249
900,133600,21347865
900,133700,21922981
900,133800,21174452
900,133900,21450037
900,134000,21467539
900,134100,21553477
900,134200,21477176
900,134300,21573633
900,134400,22031568
900,134500,21008944
900,134600,21616728
900,134700,21276844
900,134800,21569758
900,134900,21648286
900,135000,21765023
900,135100,21616249
900,135200,21841958
900,135300,23396452
900,135400,22598944
900,135500,22024404
900,135600,21377733
900,135700,21900768
900,135800,22041948
900,135900,21671422
900,136000,22182981
900,136100,22139036
900,136200,22167297
900,136300,21795203
900,136400,22096747
900,136500,22439723
900,136600,22980562
900,136700,22226829
900,136800,21980997
900,136900,22186745
900,137000,21695611
900,137100,20920094
900,137200,21099835
900,137300,20871471
900,137400,21121903
900,137500,21585278
900,137600,21435179
900,137700,18042649
900,137800,18833067
900,137900,17982193
900,138000,18007157
900,138100,18301684
900,138200,19589938
900,138300,18876225
900,138400,18382907
900,138500,18796274
900,138600,18067239
900,138700,18116017
900,138800,18243435
900,138900,18487740
900,139000,18341009
900,139100,18433429
900,139200,18774777
900,139300,18306933
900,139400,18180233
900,139500,18540896
900,139600,18384960
900,139700,18365187
900,139800,18394421
900,139900,21280360
900,140000,21874773
900,140100,21157259
900,140200,21283547
900,140300,21714226
900,140400,18504648
900,140500,18208396
900,140600,18346282
900,140700,18464507
900,140800,18525850
900,140900,18784397
900,141000,19224359
900,141100,18554841
900,141200,18176390
900,141300,21007383
900,141400,21514606
900,141500,20952055
900,141600,21248077
900,141700,22171612
900,141800,22504589
900,141900,22677428
900,142000,23818522
900,142100,22229956
900,142200,22320748
900,142300,22346452
900,142400,22584702
900,142500,22363505
900,142600,22152503
900,142700,22461833
900,142800,22263361
900,142900,21874483
900,143000,23064990
900,143100,23103908
900,143200,23002330
900,143300,22488830
900,143400,21924962
900,143500,21905184
900,143600,22190175
900,143700,22255154
900,143800,22269265
900,143900,22168181
900,144000,22044434
900,144100,22436626
900,144200,22633001
900,144300,22152948
900,144400,22104593
900,144500,22121170
900,144600,21765249
900,144700,21649307
900,144800,18728057
900,144900,19102780
900,145000,19098687
900,145100,18832410
900,145200,19438432
900,145300,19516788
900,145400,19063406
900,145500,18807166
900,145600,19318834
900,145700,18738234
900,145800,18887422
900,145900,19214177
900,146000,19892375
900,146100,19624842
900,146200,18900188
900,146300,19370965
900,146400,18870356
900,146500,18988058
900,146600,19677855
900,146700,19753980
900,146800,19790146
900,146900,18899443
900,147000,19320632
900,147100,19803670
900,147200,19345590
900,147300,21848874
900,147400,21823203
900,147500,22657536
900,147600,23742111
900,147700,23275156
900,147800,23296110
900,147900,23534836
900,148000,23124045
900,148100,23086764
900,148200,24083397
900,148300,23016206
900,148400,24025219
900,148500,24399491
900,148600,24992749
900,148700,28051975
900,148800,25398640
900,148900,19345864
900,149000,19802520
900,149100,19373347
900,149200,19423682
900,149300,20458620
900,149400,20023164
900,149500,19253314
900,149600,19208257
900,149700,19415990
900,149800,19109588
900,149900,21194768
900,150000,19393702
900,150100,20212531
900,150200,19618229
900,150300,20350997
900,150400,20459525
900,150500,19519378
900,150600,19779092
900,150700,19500137
900,150800,20194010
900,150900,19853111
900,151000,20772488
900,151100,20510965
900,151200,21205580
900,151300,20519596
900,151400,19740792
900,151500,19799509
900,151600,19583195
900,151700,19556322
900,151800,19769982
900,151900,20034365
900,152000,20092838
900,152100,20515069
900,152200,20218095
900,152300,20381637
900,152400,20485270
900,152500,19661348
900,152600,19949333
900,152700,19730356
900,152800,20274460
900,152900,19970299
900,153000,20040497
900,153100,21262374
900,153200,21073802
900,153300,20550725
900,153400,20889897
900,153500,20799650
900,153600,20700231
900,153700,20560313
900,153800,20552600
900,153900,20420559
900,154000,20191252
900,154100,21196519
900,154200,20825732
900,154300,21576169
900,154400,24296533
900,154500,20639943
900,154600,19920158
900,154700,24266086
900,154800,24436303
900,154900,20875682
900,155000,21089423
900,155100,20964619
900,155200,20795802
900,155300,21482545
900,155400,23807623
900,155500,21178394
900,155600,21195856
900,155700,24960639
900,155800,25141598
900,155900,25289802
900,156000,24978470
900,156100,25413152
900,156200,25761771
900,156300,20734899
900,156400,21100025
900,156500,20147565
900,156600,21874007
900,156700,21426131
900,156800,20587226
900,156900,20979761
900,157000,20611033
