n,m,dual_lp
2870,11480,165503914
2875,11500,178637224
2880,11520,170264100
2885,11540,172296236
2890,11560,171790799
2895,11580,174666527
2900,11600,173205802
2905,11620,178265922
2910,11640,181061604
2915,11660,180180859
2920,11680,172795409
2925,11700,175696132
2930,11720,179747148
2935,11740,174880297
2940,11760,175961648
2945,11780,180843175
2950,11800,177329041
2955,11820,185289593
2960,11840,179171161
2965,11860,173603564
2970,11880,179128216
2975,11900,176503579
2980,11920,179646815
2985,11940,177623005
2990,11960,180134734
2995,11980,184758657
3000,12000,179157690
