n,m,cmin,cmax,dinic
2020,26260,1,1,3903582
2025,26325,1,1,3897472
2030,26390,1,1,3947758
2035,26455,1,1,3521374
2040,26520,1,1,3838297
2045,26585,1,1,3789836
2050,26650,1,1,4511150
2055,26715,1,1,3757102
2060,26780,1,1,4739798
2065,26845,1,1,5088739
2070,26910,1,1,3674203
2075,26975,1,1,3899759
2080,27040,1,1,4227753
2085,27105,1,1,3816218
2090,27170,1,1,3807218
2095,27235,1,1,4452158
2100,27300,1,1,3752390
2105,27365,1,1,4339729
2110,27430,1,1,4105245
2115,27495,1,1,4570424
2120,27560,1,1,3708452
2125,27625,1,1,4371721
2130,27690,1,1,4628797
2135,27755,1,1,4626477
2140,27820,1,1,4655013
2145,27885,1,1,3942970
2150,27950,1,1,4195532
2155,28015,1,1,4113899
2160,28080,1,1,4120506
2165,28145,1,1,4139741
2170,28210,1,1,4111504
2175,28275,1,1,4027687
2180,28340,1,1,3990252
2185,28405,1,1,4112563
2190,28470,1,1,4095014
2195,28535,1,1,4394772
2200,28600,1,1,4181846
2205,28665,1,1,5003903
2210,28730,1,1,4567217
2215,28795,1,1,4203414
2220,28860,1,1,3994303
2225,28925,1,1,4041496
2230,28990,1,1,4044563
2235,29055,1,1,4525779
2240,29120,1,1,4671875
2245,29185,1,1,4086141
2250,29250,1,1,4195274
2255,29315,1,1,4295037
2260,29380,1,1,3995586
2265,29445,1,1,5562328
2270,29510,1,1,4516144
2275,29575,1,1,4532651
2280,29640,1,1,4267854
2285,29705,1,1,5099834
2290,29770,1,1,4839626
2295,29835,1,1,4571362
2300,29900,1,1,4605584
2305,29965,1,1,4509413
2310,30030,1,1,5864418
2315,30095,1,1,4468569
2320,30160,1,1,4313112
2325,30225,1,1,4584719
2330,30290,1,1,4455334
2335,30355,1,1,4773040
2340,30420,1,1,6189352
2345,30485,1,1,4672425
2350,30550,1,1,5439390
2355,30615,1,1,5872925
2360,30680,1,1,4834878
2365,30745,1,1,8095574
2370,30810,1,1,9002252
2375,30875,1,1,5945904
2380,30940,1,1,7422356
2385,31005,1,1,10144521
2390,31070,1,1,5216813
2395,31135,1,1,4920500
2400,31200,1,1,5521739
2405,31265,1,1,4814754
2410,31330,1,1,4756818
2415,31395,1,1,6173980
2420,31460,1,1,6989526
2425,31525,1,1,4707288
2430,31590,1,1,4819979
2435,31655,1,1,4676424
2440,31720,1,1,4854745
2445,31785,1,1,4819264
2450,31850,1,1,4930061
2455,31915,1,1,5425213
2460,31980,1,1,4849883
2465,32045,1,1,4891917
2470,32110,1,1,5099631
2475,32175,1,1,5003573
2480,32240,1,1,6198920
2485,32305,1,1,5202378
2490,32370,1,1,4874588
2495,32435,1,1,5089630
2500,32500,1,1,5116358
2505,32565,1,1,7836616
2510,32630,1,1,6467116
2515,32695,1,1,5042165
2520,32760,1,1,5379164
2525,32825,1,1,5434615
2530,32890,1,1,5637748
2535,32955,1,1,5281053
2540,33020,1,1,5347551
2545,33085,1,1,5355852
2550,33150,1,1,5514756
2555,33215,1,1,5635803
2560,33280,1,1,5136611
2565,33345,1,1,5143859
2570,33410,1,1,5880300
2575,33475,1,1,5837563
2580,33540,1,1,5593976
2585,33605,1,1,5394847
2590,33670,1,1,5631607
2595,33735,1,1,5919297
2600,33800,1,1,8649771
2605,33865,1,1,5786782
2610,33930,1,1,6481666
2615,33995,1,1,6260353
2620,34060,1,1,5750047
2625,34125,1,1,6748690
2630,34190,1,1,7918889
2635,34255,1,1,6753357
2640,34320,1,1,6856821
2645,34385,1,1,6567500
2650,34450,1,1,6901480
2655,34515,1,1,6988832
2660,34580,1,1,10368193
2665,34645,1,1,6362693
2670,34710,1,1,7049468
2675,34775,1,1,6852177
2680,34840,1,1,6836142
2685,34905,1,1,6356994
2690,34970,1,1,9914700
2695,35035,1,1,8169721
2700,35100,1,1,8773630
2705,35165,1,1,7204049
2710,35230,1,1,7470506
2715,35295,1,1,5695240
2720,35360,1,1,5662549
