n,m,cmin,cmax,dual_lp
2310,30030,1,100,643471357
2315,30095,1,100,578639794
2320,30160,1,100,664255801
2325,30225,1,100,655568141
2330,30290,1,100,645662023
2335,30355,1,100,665543684
2340,30420,1,100,673849841
2345,30485,1,100,646078188
2350,30550,1,100,603507883
2355,30615,1,100,832966885
2360,30680,1,100,830701573
2365,30745,1,100,686138871
2370,30810,1,100,688335323
2375,30875,1,100,704340853
2380,30940,1,100,724081749
2385,31005,1,100,678056077
2390,31070,1,100,665781396
2395,31135,1,100,745942844
2400,31200,1,100,686376603
2405,31265,1,100,679890053
2410,31330,1,100,673402705
2415,31395,1,100,669081312
2420,31460,1,100,685057300
2425,31525,1,100,668273752
2430,31590,1,100,604323415
2435,31655,1,100,697660107
2440,31720,1,100,656183570
2445,31785,1,100,718465652
2450,31850,1,100,693706226
2455,31915,1,100,705306501
2460,31980,1,100,690445663
2465,32045,1,100,747041972
2470,32110,1,100,731540147
2475,32175,1,100,700188908
2480,32240,1,100,745763810
2485,32305,1,100,747231120
2490,32370,1,100,764961990
2495,32435,1,100,717989018
2500,32500,1,100,717174463
2505,32565,1,100,700684361
2510,32630,1,100,764771881
2515,32695,1,100,727028370
2520,32760,1,100,699283336
2525,32825,1,100,735958073
2530,32890,1,100,696965617
2535,32955,1,100,806391113
2540,33020,1,100,707120603
2545,33085,1,100,762765207
2550,33150,1,100,701907676
2555,33215,1,100,772015104
2560,33280,1,100,723454160
2565,33345,1,100,748837349
2570,33410,1,100,698170640
2575,33475,1,100,750861287
2580,33540,1,100,797379977
2585,33605,1,100,681616954
2590,33670,1,100,759550975
2595,33735,1,100,775235721
2600,33800,1,100,757298961
2605,33865,1,100,733870305
2610,33930,1,100,764670690
2615,33995,1,100,805496064
2620,34060,1,100,772427777
2625,34125,1,100,769396426
2630,34190,1,100,708901364
2635,34255,1,100,748194748
2640,34320,1,100,665879603
2645,34385,1,100,786426317
2650,34450,1,100,739141168
2655,34515,1,100,787569034
2660,34580,1,100,784792572
2665,34645,1,100,773790463
2670,34710,1,100,813155935
2675,34775,1,100,762886600
2680,34840,1,100,760548854
2685,34905,1,100,789123902
2690,34970,1,100,808648274
2695,35035,1,100,890925599
2700,35100,1,100,801546736
2705,35165,1,100,742960763
2710,35230,1,100,996898968
2715,35295,1,100,911626339
2720,35360,1,100,886031836
2725,35425,1,100,891559898
2730,35490,1,100,784158577
2735,35555,1,100,783466605
2740,35620,1,100,796536223
2745,35685,1,100,760513068
2750,35750,1,100,824817756
2755,35815,1,100,923806150
2760,35880,1,100,793673850
2765,35945,1,100,800962278
2770,36010,1,100,792235269
2775,36075,1,100,878371403
2780,36140,1,100,843549087
2785,36205,1,100,797238233
2790,36270,1,100,829969224
2795,36335,1,100,865915659
2800,36400,1,100,849885718
2805,36465,1,100,822853639
2810,36530,1,100,812517147
2815,36595,1,100,859204673
2820,36660,1,100,810824521
2825,36725,1,100,915087270
2830,36790,1,100,803922467
2835,36855,1,100,854594530
2840,36920,1,100,809975204
2845,36985,1,100,803064049
2850,37050,1,100,782512908
2855,37115,1,100,910176326
2860,37180,1,100,850746498
2865,37245,1,100,866997207
2870,37310,1,100,848911405
2875,37375,1,100,800551480
2880,37440,1,100,829723671
2885,37505,1,100,826959114
2890,37570,1,100,803352194
2895,37635,1,100,820014184
2900,37700,1,100,819899011
2905,37765,1,100,820967452
2910,37830,1,100,843682998
2915,37895,1,100,786022843
2920,37960,1,100,820220274
2925,38025,1,100,868218571
2930,38090,1,100,838574197
2935,38155,1,100,845737878
2940,38220,1,100,807482188
2945,38285,1,100,966208322
2950,38350,1,100,921634660
2955,38415,1,100,853981291
2960,38480,1,100,972481527
2965,38545,1,100,858715755
2970,38610,1,100,850842822
2975,38675,1,100,910723369
2980,38740,1,100,849996205
2985,38805,1,100,915903566
2990,38870,1,100,939181846
2995,38935,1,100,920527446
3000,39000,1,100,845219825
