n,m,lp_runs,exp_lp
2750,30250,20,273078887
2755,30305,18,249223050
2760,30360,19,261746289
2765,30415,21,286849291
2770,30470,20,276949933
2775,30525,18,252346444
2780,30580,17,245520256
2785,30635,14,210603668
2790,30690,20,272044496
2795,30745,19,263159310
2800,30800,20,276062419
2805,30855,16,233677993
2810,30910,18,256680493
2815,30965,19,268924549
2820,31020,16,234808142
2825,31075,19,339273849
2830,31130,24,324835408
2835,31185,17,244654073
2840,31240,20,281206313
2845,31295,20,282487660
2850,31350,23,315653438
2855,31405,20,285338968
2860,31460,20,285928725
2865,31515,19,274944207
2870,31570,19,279994569
2875,31625,23,323714850
2880,31680,21,298989649
2885,31735,22,309505029
2890,31790,17,252467964
2895,31845,19,280654048
2900,31900,22,319090173
2905,31955,20,300054742
2910,32010,15,236286141
2915,32065,16,248390480
2920,32120,17,257216845
2925,32175,18,265188021
2930,32230,20,293891435
2935,32285,18,274597658
2940,32340,20,297512777
2945,32395,17,260414211
2950,32450,20,297387166
2955,32505,19,290536971
2960,32560,17,267038504
2965,32615,20,325514239
2970,32670,19,355661056
2975,32725,21,358694869
2980,32780,19,296635484
2985,32835,16,264332725
2990,32890,20,309150250
2995,32945,18,289366360
3000,33000,22,340858200
