n,m,primal_lp
2670,13350,247940967
2675,13375,265849845
2680,13400,239218611
2685,13425,220180117
2690,13450,211296957
2695,13475,230619590
2700,13500,256858960
2705,13525,274082292
2710,13550,228861435
2715,13575,241764270
2720,13600,226189891
2725,13625,284297109
2730,13650,267554472
2735,13675,241702082
2740,13700,265350349
2745,13725,238799716
2750,13750,315588594
2755,13775,260846410
2760,13800,320258029
2765,13825,248911584
2770,13850,332281860
2775,13875,273509474
2780,13900,253483224
2785,13925,242127808
2790,13950,288124055
2795,13975,284324512
2800,14000,261134787
2805,14025,237674806
2810,14050,268269717
2815,14075,257993483
2820,14100,225546860
2825,14125,258436167
2830,14150,248467737
2835,14175,258392766
2840,14200,291610830
2845,14225,265553194
2850,14250,294656216
2855,14275,255567208
2860,14300,260857111
2865,14325,260571930
2870,14350,259753748
2875,14375,263195509
2880,14400,267700249
2885,14425,273169871
2890,14450,249412160
2895,14475,274728765
2900,14500,279010321
2905,14525,252988563
2910,14550,280612519
2915,14575,318601690
2920,14600,250276328
2925,14625,306436510
2930,14650,310314663
2935,14675,314927259
2940,14700,267375701
2945,14725,333690174
2950,14750,286960382
2955,14775,272779703
2960,14800,259160463
2965,14825,268115717
2970,14850,264465390
2975,14875,297582565
2980,14900,269791675
2985,14925,337312499
2990,14950,326990420
2995,14975,284733497
3000,15000,278449552
