n,m,dual_lp
700,50300,685384691
700,50400,812149289
700,50500,792749117
700,50600,718526290
700,50700,780466551
700,50800,703453544
700,50900,703202198
700,51000,767757274
700,51100,711511365
700,51200,777691838
700,51300,805453970
700,51400,816638994
700,51500,768039473
700,51600,816860755
700,51700,791458101
700,51800,848486476
700,51900,766165569
700,52000,833451077
700,52100,788153200
700,52200,721617922
700,52300,725878828
700,52400,822989972
700,52500,789685343
700,52600,858278008
700,52700,796572893
700,52800,860650406
700,52900,829649925
700,53000,841430960
700,53100,802830478
700,53200,820787561
700,53300,851740569
700,53400,854649895
700,53500,805700730
700,53600,870760011
700,53700,702446346
700,53800,742852691
700,53900,809136881
700,54000,793558417
700,54100,752327676
700,54200,921465792
700,54300,822252886
700,54400,724437331
700,54500,871201297
700,54600,851470025
700,54700,831538882
700,54800,869469161
700,54900,816951904
700,55000,832785094
700,55100,828794089
700,55200,767540094
700,55300,829052908
700,55400,881786661
700,55500,879333083
700,55600,874987240
700,55700,822753263
700,55800,911499106
700,55900,856644873
700,56000,1039213649
700,56100,945404009
700,56200,838205614
700,56300,828378995
700,56400,742091785
700,56500,843356858
700,56600,733616882
700,56700,918537211
700,56800,901636154
700,56900,871172097
700,57000,799934511
700,57100,922575426
700,57200,855342758
700,57300,862206306
700,57400,809457132
700,57500,870592339
700,57600,929738815
700,57700,810437995
700,57800,928327280
700,57900,952479373
700,58000,868509344
700,58100,943872423
700,58200,916644045
700,58300,870693251
700,58400,936650801
700,58500,876191677
700,58600,822396946
700,58700,1017392631
700,58800,974313275
700,58900,972969955
700,59000,911660382
700,59100,901274689
700,59200,884536875
700,59300,923061145
700,59400,892460603
700,59500,899466961
700,59600,950058791
700,59700,802315064
700,59800,901176797
700,59900,918183546
700,60000,852735662
700,60100,992399215
700,60200,1012161403
700,60300,1070599231
700,60400,999661948
700,60500,886379640
700,60600,967676462
700,60700,1016531877
700,60800,937087607
700,60900,987791378
700,61000,1011599187
700,61100,906220636
700,61200,862859905
700,61300,937807872
700,61400,991671071
700,61500,1117188182
700,61600,1061757708
700,61700,954772353
700,61800,1032407245
700,61900,965802193
700,62000,816123715
700,62100,994971079
700,62200,982090407
700,62300,1110868671
700,62400,975140239
700,62500,1020665010
700,62600,841671701
700,62700,1045244837
700,62800,966107912
700,62900,969397748
700,63000,909560744
700,63100,960383441
700,63200,940484622
700,63300,1091978613
700,63400,943509013
700,63500,952182556
700,63600,953546402
700,63700,957888217
700,63800,999175983
700,63900,1058168913
700,64000,930454997
700,64100,943628939
700,64200,1112599514
700,64300,1073879725
700,64400,1086047760
700,64500,990579760
700,64600,1094373688
700,64700,927944900
700,64800,992205096
700,64900,929160651
700,65000,1021031037
700,65100,1074846534
700,65200,1057143507
700,65300,1122523942
700,65400,1138506132
700,65500,1080990863
700,65600,1136427450
700,65700,1073002314
700,65800,1146185008
700,65900,1080682817
700,66000,994314802
700,66100,1076315505
700,66200,905382465
700,66300,990978791
700,66400,1050919460
700,66500,1079397657
700,66600,1084165920
700,66700,986564416
700,66800,1016246807
700,66900,1147045665
700,67000,1032410594
700,67100,1029336998
700,67200,982687875
700,67300,1084316241
700,67400,1033225686
700,67500,1017018110
700,67600,1027282614
700,67700,978347036
700,67800,1014402884
700,67900,1176105908
700,68000,1109846870
700,68100,1244064789
700,68200,1032901279
700,68300,1090248452
700,68400,1082500114
700,68500,1068134924
700,68600,1154851240
700,68700,979827973
700,68800,1166093168
700,68900,1187723261
700,69000,1135203095
700,69100,1274192829
700,69200,1061334705
700,69300,1187616754
700,69400,1189873898
700,69500,1191399419
700,69600,1068656767
700,69700,1040720627
700,69800,1189429638
700,69900,1114961795
700,70000,1101852361
700,70100,1047542844
700,70200,1164932427
700,70300,1045784460
700,70400,1153013966
700,70500,1101592219
700,70600,1177735263
700,70700,1117927576
700,70800,1182185067
700,70900,1113429990
700,71000,1203229867
700,71100,1102042513
700,71200,1114830585
700,71300,1208158861
700,71400,1050719358
700,71500,1275259603
700,71600,1007120531
700,71700,1150133417
700,71800,1204964970
700,71900,1272191877
700,72000,1136521109
700,72100,1056212428
700,72200,1141397810
700,72300,1114483667
700,72400,1303855849
700,72500,1245406165
700,72600,1129759285
700,72700,1208290390
700,72800,1068687439
700,72900,1241787247
700,73000,1072603924
700,73100,1160174043
700,73200,1212312987
700,73300,1188919773
700,73400,1072378957
700,73500,1284874365
700,73600,1240862793
700,73700,1160953943
700,73800,1085290516
700,73900,1289698689
700,74000,1079334987
700,74100,1264858243
700,74200,1220983799
700,74300,1290777320
700,74400,1320912047
700,74500,1226511933
700,74600,1189460076
700,74700,1328281937
700,74800,1172671148
700,74900,1214285003
700,75000,1206737362
700,75100,1194720583
700,75200,1352254961
700,75300,1288079435
700,75400,1210278483
700,75500,1172061053
700,75600,1260841584
700,75700,1206054149
700,75800,1284947584
700,75900,1207558299
700,76000,1193717298
700,76100,1248227666
700,76200,1219370703
700,76300,1268370595
700,76400,1379370640
700,76500,1261162022
700,76600,1271780747
700,76700,1376646637
700,76800,1343975002
700,76900,1278055046
700,77000,1393890980
700,77100,1213572127
700,77200,1303332956
700,77300,1300473028
700,77400,1286439393
700,77500,1358610941
700,77600,1320780035
700,77700,1254088371
700,77800,1233225108
700,77900,1492076587
700,78000,1308057852
700,78100,1322768001
700,78200,1327984404
700,78300,1295050790
700,78400,1435703260
700,78500,1140239428
700,78600,1314979950
700,78700,1268921034
700,78800,1187001726
700,78900,1234811047
700,79000,1367244142
700,79100,1304671489
700,79200,1408171089
700,79300,1360013930
700,79400,1491472626
700,79500,1289682953
700,79600,1377591614
700,79700,1255186247
700,79800,1185586796
700,79900,1433429029
700,80000,1387294941
700,80100,1586261118
700,80200,1164876719
700,80300,1393077018
700,80400,1369576546
700,80500,1177575116
700,80600,1450020190
700,80700,1363212861
700,80800,1349836925
700,80900,1333697744
700,81000,1278799098
700,81100,1519670457
700,81200,1294622225
700,81300,1477821342
700,81400,1419937379
700,81500,1291949056
700,81600,1303030138
700,81700,1308192277
700,81800,1422941512
700,81900,1437610192
700,82000,1388570564
700,82100,1353094803
700,82200,1212236158
700,82300,1383904476
700,82400,1347720814
700,82500,1617083344
700,82600,1706403487
700,82700,1376140878
700,82800,1263640407
700,82900,1339400497
700,83000,1431052036
700,83100,1355781012
700,83200,1350723302
700,83300,1415879520
700,83400,1485095244
700,83500,1487121678
700,83600,1420699052
700,83700,1515002396
700,83800,1381422530
700,83900,1582308898
700,84000,1386371872
700,84100,1402551829
700,84200,1575969434
700,84300,1443850946
700,84400,1513303984
700,84500,1368377450
700,84600,1374250440
700,84700,1502626263
700,84800,1378425711
700,84900,1400717003
700,85000,1283312368
700,85100,1633885970
700,85200,1393790741
700,85300,1632483290
700,85400,1297481422
700,85500,1302557538
